"id","name","rgb","is_trans","color.name","color.hex","text.color.hex"
1042,"Modulex Foil Dark Green","006400","f","Modulex Foil Dark Green","#006400","#FFFFFF"
1043,"Modulex Foil Light Green","7DB538","f","Modulex Foil Light Green","#7DB538","#FFFFFF"
1044,"Modulex Foil Dark Blue","0057A6","f","Modulex Foil Dark Blue","#0057A6","#FFFFFF"
1045,"Modulex Foil Light Blue","68AECE","f","Modulex Foil Light Blue","#68AECE","#FFFFFF"
1046,"Modulex Foil Violet","4B0082","f","Modulex Foil Violet","#4B0082","#FFFFFF"
1047,"Modulex Foil Red","8B0000","f","Modulex Foil Red","#8B0000","#FFFFFF"
1048,"Modulex Foil Yellow","FED557","f","Modulex Foil Yellow","#FED557","#000000"
1049,"Modulex Foil Orange","F7AD63","f","Modulex Foil Orange","#F7AD63","#FFFFFF"
1050,"Coral","FF698F","f","Coral","#FF698F","#FFFFFF"
9999,"[No Color/Any Color]","05131D","f","[No Color/Any Color]","#05131D","#FFFFFF"
