"rel_type","child_part_num","parent_part_num"
"P","3626cpr9975","3626c"
"P","970c00pr9932","970c00"
"P","3626cpr2451","3626c"
"P","973pr4066c01","973c00"
"P","973pr4051c01","973c00"
"P","970c05pr1401","970c00"
"P","3626cpr2440","3626c"
"P","3626cpr2453","3626c"
"P","970c00pr9931","970c00"
"P","3626cpr2464","3626c"
"P","970c00pr1417","970c00"
"P","970c00pr1405","970c00"
"P","973pr4093c01","973c00"
"M","16091","30663"
"P","973pr4062c01","973c00"
"P","12614pr0001","12614"
"P","973pr2975c01","973c00"
"P","970c09pr0831","970c00"
"P","973pr3005c01","973c00"
"P","970c05pr0835","970c00"
"P","3626bpr0571","3626b"
"P","973pr2973c01","973c00"
"P","973pr1813c01","973c00"
"P","973pr4061c01","973c00"
"P","6239pr0001","6239"
"P","970c00pr0964","970c00"
"P","973pr4075c01","973c00"
"P","973pr4060c01","973c00"
"P","30292pr0004","30292"
"P","19981pr0028","19981"
"P","19981pr0036","19981"
"P","3626cpr2507","3626c"
"P","970c00pr9929","970c00"
"P","970c00pr1467","970c00"
"P","970c00pr1465","970c00"
"P","973pr4178c01","973c00"
"P","14769pr1126","14769"
"P","973pr4180c01","973c00"
"M","88489","4506"
"P","973pr4179c01","973c00"
"P","3678bpr0003","3678b"
"P","3626cpr2466","3626c"
"P","3626cpr2469","3626c"
"P","973pr4098c01","973c00"
"P","973pr4099c01","973c00"
"P","87997pr0001","87997"
"P","973pb0013c01","973c00"
"P","970c00pr0200","970c00"
"P","973pr1812c01","973c00"
"P","11233pr0002","11233"
"T","57548pat0001","57548"
"P","973pr2316c01","973c00"
"P","973pr2329c01","973c00"
"P","973pr2327c01","973c00"
"P","973pr2323c01","973c00"
"P","973pr2321c01","973c00"
"P","973pr4148c01","973c00"
"P","41751pr4","41751"
"P","3070bpr0184","3070b"
"P","973pr1558c01","973c00"
"P","98165pr0011","98165"
"P","27382pr0001","27382"
"P","973pr2328c01","973c00"
"P","973pr2314c01","973c00"
"P","973pb0332c01","973c00"
"P","15429pr0009","15429"
"P","4490pr0004","4490"
"P","973pr1676c01","973c00"
"P","3069bpr0234","3069b"
"T","53544pat0001","53544"
"P","19729pr0014a","19729"
"P","970c00pr1091","970c00"
"P","3010pr0036","3010"
"P","87997pr0002","87997"
"A","3063b","3063a"
"P","970c00pr9930","970c00"
"P","973pb1397c01","973c00"
"A","73090b","73090a"
"P","22385pr0089","22385"
"M","93571","32174"
"P","973pr1520c01","973c00"
"P","14769pr1011","14769"
"P","973pr1679c01","973c00"
"P","973pb0724c01","973c00"
"P","2362pb02","2362a"
"P","6180pb051","6180"
"P","973pr1804c01","973c00"
"P","973pr1674c01","973c00"
"P","973pr1675c01","973c00"
"A","64951","4424"
"P","92456pr0058c01","92456c01"
"A","92107","30041"
"P","3626cpr0839","3626c"
"P","973pr1680c01","973c00"
"A","10202","6881b"
"P","3626cpr2421","3626c"
"P","973pr1563c01","973c00"
"P","973pr1559c01","973c00"
"P","973pr1668c01","973c00"
"P","973pr1669c01","973c00"
"P","973pb0072c01","973c00"
"T","57548pat0002","57548"
"P","973pb1409c01","973c00"
"A","43362c01","71427c01"
"P","973pr3096c01","973c00"
"P","973pr3008c01","973c00"
"P","41751pr005","41751"
"P","973pr1670c01","973c00"
"P","973pr1638c01","973c00"
"P","973pr1686c01","973c00"
"P","973pr1692c01","973c00"
"P","50231px3","50231"
"P","973pb0074c02","973c00"
"P","973pr1737c01","973c00"
"P","3626cpr2422","3626c"
"P","973pr1738c01","973c00"
"P","973pr1702c01","973c00"
"P","98133pr0002","98133"
"P","3626cpr1069","3626c"
"M","6126a","6126"
"P","3626bpr0966","3626c"
"P","3626cpr2423","3626c"
"P","973pb0075c01","973c00"
"P","973pr2320c01","973c00"
"P","973pr2326c01","973c00"
"P","973pb0076c01","973c00"
"P","973pb0077c01","973c00"
"P","3626cpr2424","3626c"
"P","3626cpr2425","3626c"
"P","973pr2325c01","973c00"
"P","973pr2315c01","973c00"
"P","973pr2318c01","973c00"
"P","973pr2176c01","973c00"
"P","973pr2175c01","973c00"
"P","973pr2174c01","973c00"
"P","973pr2177c01","973c00"
"P","973pr2368c01","973c00"
"P","973pb0310c01","973c00"
"P","3626cpr2426","3626c"
"P","99246pr0001","99246"
"P","3626cpr2427","3626c"
"A","76537","731c01"
"M","89652","60176"
"T","57557pat0001","57557"
"P","3626cpr2428","3626c"
"P","3626cpr2429","3626c"
"P","3626cpr2431","3626c"
"P","3626cpr2433","3626c"
"P","3626cpr2434","3626c"
"P","3626cpr2435","3626c"
"P","973pr1706c01","973c00"
"P","3626cpr1091","3626c"
"P","970c05pr0836","970c00"
"P","973pr9862c01","973c00"
"P","973pr1803c01","973c00"
"P","10057pr0002","10057"
"P","13808pr0001","13808"
"P","973pr3450c01","973c00"
"P","2431pr0123","2431"
"P","3626cpr2436","3626c"
"P","970c00pr1422","970c00"
"P","10057pr0001","10057"
"P","973pr1752c01","973c00"
"M","32062","3704"
"A","30042","92099"
"A","60115","6260"
"P","15068pr0002","15068"
"P","970c00pr1429","970c00"
"M","4459","2780"
"P","3626bpr0659","3626b"
"P","2335pr13","2335"
"P","11591pr0001","11591"
"P","3626cpr1353","3626c"
"P","3626cpr1350","3626c"
"P","3626cpr1352","3626c"
"P","3626cpr0743","3626c"
"P","3626cpr9905","3626c"
"P","3626cpr1986","3626c"
"P","93348pr0001","93348"
"P","970c00pr1431","970c00"
"P","973pr3478c01","973c00"
"P","970c00pr1432","970c00"
"P","973pr2372c01","973c00"
"P","90398pr0013","90398"
"P","973pr2334c01","973c00"
"P","41751pr006","41751"
"P","973pr0190c01","973c00"
"P","90398pr0048","90398"
"P","973pr2287c01","973c00"
"P","85863pr0109","85863"
"P","13788pr0001","13788"
"P","973pr2308c01","973c00"
"P","3069bp0g","3069b"
"P","3626cpr1086","3626c"
"P","3626cpr0926","3626c"
"P","3069bp0e","3069b"
"P","3069bpr0016","3069b"
"P","3626cpr0966","3626c"
"P","3626cpr1284","3626c"
"P","3626cpr1357","3626c"
"P","3626cpr1358","3626c"
"P","3626cpr1363","3626c"
"P","3626cpr1356","3626c"
"P","3626cpr1664","3626c"
"P","973pr2867c01","973c00"
"A","4728","98262"
"P","970c07pr1435","970c00"
"P","3626cpr1296a","3626c"
"P","32474pr1001","32474"
"P","3678bpr0042","3678b"
"P","973pr2389c01","973c00"
"M","132b","132a"
"P","970c00pr1436","970c00"
"A","60176","32174"
"P","973pr2288c01","973c00"
"P","973pr2307c01","973c00"
"P","973pr2352c01","973c00"
"P","973pr2357c01","973c00"
"P","973pr2235c01","973c00"
"M","89908","64800"
"P","970c00pr1437","970c00"
"P","973pr1340c01","973c00"
"M","4105438f","4105438"
"M","wheel1c","wheel1"
"P","3626bpb0201","3626b"
"M","4276a","4276"
"M","2578a","2578"
"M","2332b","2332"
"P","14769pr1007","14769"
"A","837","2"
"P","970c00pr0971","970c00"
"P","12893pr0001","12893"
"P","973pr3463c01","973c00"
"T","53613pat0002","53613"
"M","3005pteb","3005pte"
"P","3068bpr0244","3068b"
"T","32558pat0001","32558"
"P","970c00pr1439","970c00"
"P","14769pr1003","14769"
"P","973pr3136c01","973c00"
"P","16178pr01","16178"
"P","970c00pr1441","970c00"
"P","3626cpr1607","3626c"
"P","973pr3138c01","973c00"
"P","3626cpr1605","3626c"
"P","973pr3188c01","973c00"
"P","970c00pr1450","970c00"
"P","973pr3135c01","973c00"
"P","973pr1814c01","973c00"
"A","3036a","3036"
"P","2454pb001","2454a"
"P","19981pr0030","19981"
"P","3626cpr2493","3626c"
"P","973pr2909c01","973c00"
"P","41751pr1","41751"
"P","973pr1564c01","973c00"
"M","3614a","3614"
"P","3626cpr2494","3626c"
"P","973pr4161c01","973c00"
"P","973pr4117c01","973c00"
"P","973pr9861c01","973c00"
"P","973pr2910c01","973c00"
"T","75347pat01","75347"
"P","970c00pr0967","970c00"
"P","3626cpr2575","3626c"
"M","51991c","51991"
"P","973pr3133c01","973c00"
"M","132c","132a"
"P","2586pr15","2586"
"P","973pr3139c01","973c00"
"M","649pb08a","649pb08"
"P","3626cpr1754","3626c"
"P","3626cpr1757","3626c"
"P","3626cpr1753","3626c"
"P","3626cpr1755","3626c"
"P","3626cpr1758","3626c"
"M","3855a","3855"
"P","3626cpr1756","3626c"
"M","60616a","60616"
"M","6644a","6644"
"M","3947b","3947"
"P","3626cpr1759","3626c"
"P","973pr3134c01","973c00"
"M","clikits015d","clikits015"
"P","19981pr0033","19981"
"P","3069bpr0151","3069b"
"P","19981pr0034","19981"
"P","15503pr0001","15503"
"M","3005ptsb","3005pts"
"P","3068bpr0273","3068b"
"P","973pr3062c01","973c00"
"M","3962b","3962"
"P","973pr3462c01","973c00"
"M","3005ptjb","3005ptj"
"P","970c00pr0963","970c00"
"P","973pr3179c01","973c00"
"M","802a","802"
"M","3005pt8b","3005pt8"
"M","7039c","7039"
"M","4070a","4070"
